1.Time,2.Signal Value,3.Status,4.Value of Shift/Drift,5.Health Status
0,0,97.75344497270797,Healthy Status,NaN,Safe Condition
1,1,93.40368998471472,Healthy Status,NaN,Safe Condition
2,2,101.41869781273861,Healthy Status,NaN,Safe Condition
3,3,96.85574267366162,Healthy Status,NaN,Safe Condition
4,4,99.07251121238467,Healthy Status,NaN,Safe Condition
5,5,100.8319027215809,Healthy Status,NaN,Safe Condition
6,6,103.74323187582426,Healthy Status,NaN,Safe Condition
7,7,100.71831324891511,Healthy Status,NaN,Safe Condition
8,8,97.69135398037614,Healthy Status,NaN,Safe Condition
9,9,97.86650915334923,Healthy Status,NaN,Safe Condition
10,10,99.09839151366211,Healthy Status,NaN,Safe Condition
11,11,98.74032265244395,Healthy Status,NaN,Safe Condition
12,12,101.69198713796796,Healthy Status,NaN,Safe Condition
13,13,98.24469277250505,Healthy Status,NaN,Safe Condition
14,14,97.99434615821245,Healthy Status,NaN,Safe Condition
15,15,93.36518865267884,Healthy Status,NaN,Safe Condition
16,16,95.9696908132962,Healthy Status,NaN,Safe Condition
17,17,97.96506227438888,Healthy Status,NaN,Safe Condition
18,18,103.12595368072019,Healthy Status,NaN,Safe Condition
19,19,97.38247586515237,Healthy Status,NaN,Safe Condition
20,20,100.16468987028995,Healthy Status,NaN,Safe Condition
21,21,99.19233237076783,Healthy Status,NaN,Safe Condition
22,22,96.51674740002859,Healthy Status,NaN,Safe Condition
23,23,100.9157282790331,Healthy Status,NaN,Safe Condition
24,24,98.3678402319456,Healthy Status,NaN,Safe Condition
25,25,99.58429944718178,Healthy Status,NaN,Safe Condition
26,26,106.26871514120563,Healthy Status,NaN,Safe Condition
27,27,101.98809886083124,Healthy Status,NaN,Safe Condition
28,28,104.62348933827565,Healthy Status,NaN,Safe Condition
29,29,107.35444670611786,Healthy Status,NaN,Safe Condition
30,30,106.14290647122708,Healthy Status,NaN,Safe Condition
31,31,101.01999090650241,Healthy Status,NaN,Safe Condition
32,32,96.62337099019953,Healthy Status,NaN,Safe Condition
33,33,96.06822616895171,Healthy Status,NaN,Safe Condition
34,34,98.7756086733849,Healthy Status,NaN,Safe Condition
35,35,103.35400244237222,Healthy Status,NaN,Safe Condition
36,36,93.23660735839267,Healthy Status,NaN,Safe Condition
37,37,104.60469462889135,Healthy Status,NaN,Safe Condition
38,38,95.88265260987946,Healthy Status,NaN,Safe Condition
39,39,97.95603124323326,Healthy Status,NaN,Safe Condition
40,40,90.55891786055464,Healthy Status,NaN,Safe Condition
41,41,100.41438052799306,Healthy Status,NaN,Safe Condition
42,42,106.95527091298075,Healthy Status,NaN,Safe Condition
43,43,104.96750337838903,Healthy Status,NaN,Safe Condition
44,44,100.52965102787407,Healthy Status,NaN,Safe Condition
45,45,102.31117582858728,Healthy Status,NaN,Safe Condition
46,46,93.69637716276033,Healthy Status,NaN,Safe Condition
47,47,94.82882305871136,Healthy Status,NaN,Safe Condition
48,48,97.36032084476753,Healthy Status,NaN,Safe Condition
49,49,96.5039808970877,Healthy Status,NaN,Safe Condition
50,50,97.24179755993227,Healthy Status,NaN,Safe Condition
51,51,97.85808060656706,Healthy Status,NaN,Safe Condition
52,52,106.11181207029138,Healthy Status,NaN,Safe Condition
53,53,102.58882316002355,Healthy Status,NaN,Safe Condition
54,54,97.29065355070504,Healthy Status,NaN,Safe Condition
55,55,98.93992481980258,Healthy Status,NaN,Safe Condition
56,56,102.98442574423257,Healthy Status,NaN,Safe Condition
57,57,87.47686067450994,Healthy Status,NaN,Safe Condition
58,58,100.23848713848648,Healthy Status,NaN,Safe Condition
59,59,96.49915555869404,Healthy Status,NaN,Safe Condition
60,60,104.25951331536814,Healthy Status,NaN,Safe Condition
61,61,97.7073893805636,Healthy Status,NaN,Safe Condition
62,62,96.78688605245777,Healthy Status,NaN,Safe Condition
63,63,104.37188650866483,Healthy Status,NaN,Safe Condition
64,64,102.60511031897357,Healthy Status,NaN,Safe Condition
65,65,108.64209915107858,Healthy Status,NaN,Safe Condition
66,66,97.44347972903377,Healthy Status,NaN,Safe Condition
67,67,98.66524988138723,Healthy Status,NaN,Safe Condition
68,68,98.24959256873463,Healthy Status,NaN,Safe Condition
69,69,92.37682047588697,Healthy Status,NaN,Safe Condition
70,70,95.08392267236569,Healthy Status,NaN,Safe Condition
71,71,103.17959543971737,Healthy Status,NaN,Safe Condition
72,72,95.35796743182875,Healthy Status,NaN,Safe Condition
73,73,102.1842220797142,Healthy Status,NaN,Safe Condition
74,74,104.65303333472684,Healthy Status,NaN,Safe Condition
75,75,102.63550807500972,Healthy Status,NaN,Safe Condition
76,76,102.09475704155925,Healthy Status,NaN,Safe Condition
77,77,105.30862429272214,Healthy Status,NaN,Safe Condition
78,78,104.45009787568475,Healthy Status,NaN,Safe Condition
79,79,95.70148157460568,Healthy Status,NaN,Safe Condition
80,80,101.37366465477605,Healthy Status,NaN,Safe Condition
81,81,103.94175015891578,drift Started,0.42924815709855474,Safe Condition
82,82,97.99438341824755,drift continue,NaN,Safe Condition
83,83,98.5405476802014,drift continue,NaN,Safe Condition
84,84,100.96811643058825,drift continue,NaN,Safe Condition
85,85,106.61535231936853,drift continue,NaN,Safe Condition
86,86,103.50108562350516,drift continue,NaN,Safe Condition
87,87,106.99108063083386,drift continue,NaN,Safe Condition
88,88,110.54593928547101,drift continue,NaN,Safe Condition
89,89,108.83712429602112,drift continue,NaN,Safe Condition
90,90,111.28490469743525,drift continue,NaN,Safe Condition
91,91,99.81611774987002,drift continue,NaN,Safe Condition
92,92,109.22776442123022,drift continue,NaN,Safe Condition
93,93,113.4642398602138,drift continue,NaN,Safe Condition
94,94,107.21752987845132,drift continue,NaN,Safe Condition
95,95,105.42003777292595,drift continue,NaN,Safe Condition
96,96,117.73208961344734,drift continue,NaN,Safe Condition
97,97,107.92798909529517,drift continue,NaN,Safe Condition
98,98,115.0540182203867,drift continue,NaN,Safe Condition
99,99,112.0238271980486,drift continue,NaN,Safe Condition
100,100,109.09524189338462,drift continue,NaN,Safe Condition
101,101,117.02475881497917,drift continue,NaN,Safe Condition
102,102,111.96805695467793,drift continue,NaN,Safe Condition
103,103,119.46949172620397,drift continue,NaN,Safe Condition
104,104,113.8767907533597,drift continue,NaN,Safe Condition
105,105,117.05897374811592,drift continue,NaN,Safe Condition
106,106,113.40033671050486,drift continue,NaN,Safe Condition
107,107,112.67060453916346,drift continue,NaN,Safe Condition
108,108,115.05251988838326,drift continue,NaN,Safe Condition
109,109,117.6125923667965,drift continue,NaN,Safe Condition
110,110,122.00690834397656,drift continue,NaN,Safe Condition
111,111,119.79654566890261,drift continue,NaN,Safe Condition
112,112,121.00416012410528,drift continue,NaN,Safe Condition
113,113,113.8677600125926,drift continue,NaN,Safe Condition
114,114,119.42909477502927,drift continue,NaN,Safe Condition
115,115,120.39992876269487,drift continue,NaN,Safe Condition
116,116,122.98510830821436,drift continue,NaN,Safe Condition
117,117,117.00206057260526,drift continue,NaN,Safe Condition
118,118,120.66785369183333,drift continue,NaN,Safe Condition
119,119,122.52073916600894,drift continue,NaN,Safe Condition
120,120,124.2523263891312,drift continue,NaN,Safe Condition
121,121,117.0128877737756,drift continue,NaN,Safe Condition
122,122,119.51068437477487,drift continue,NaN,Safe Condition
123,123,121.19162404600452,drift continue,NaN,Safe Condition
124,124,124.5513109632533,drift continue,NaN,Safe Condition
125,125,116.69811866140702,drift continue,NaN,Safe Condition
126,126,124.34038337303477,drift continue,NaN,Safe Condition
127,127,130.00345895579713,drift continue,NaN,Safe Condition
128,128,122.8281782521599,drift continue,NaN,Safe Condition
129,129,119.21850347244856,drift continue,NaN,Safe Condition
130,130,130.9944178712658,drift continue,NaN,Safe Condition
131,131,118.5471946476639,drift continue,NaN,Safe Condition
132,132,126.93109110372103,drift continue,NaN,Safe Condition
133,133,127.65960284072493,drift continue,NaN,Safe Condition
134,134,125.73600817710658,drift continue,NaN,Safe Condition
135,135,127.78019940394452,drift continue,NaN,Safe Condition
136,136,132.29658603462002,drift continue,NaN,Safe Condition
137,137,129.47892931314456,drift continue,NaN,Safe Condition
138,138,135.30882003489688,drift continue,NaN,Safe Condition
139,139,129.7691573342259,drift continue,NaN,Safe Condition
140,140,127.94358846354368,drift continue,NaN,Safe Condition
141,141,128.43987631159047,drift continue,NaN,Safe Condition
142,142,135.09283870860293,drift continue,NaN,Safe Condition
143,143,133.22981028569276,drift continue,NaN,Safe Condition
144,144,132.09699017491428,drift continue,NaN,Safe Condition
145,145,127.55228754284084,drift continue,NaN,Safe Condition
146,146,131.47780987337515,drift continue,NaN,Safe Condition
147,147,127.32774906451009,drift continue,NaN,Safe Condition
148,148,137.56516120348786,drift continue,NaN,Safe Condition
149,149,129.3732244799122,drift continue,NaN,Safe Condition
150,150,138.9449998564352,drift continue,NaN,Safe Condition
151,151,131.16701631816613,drift continue,NaN,Safe Condition
152,152,134.5204715629407,drift continue,NaN,Safe Condition
153,153,131.8146642684467,drift continue,NaN,Safe Condition
154,154,142.17902810701335,drift continue,NaN,Safe Condition
155,155,133.98615432681655,drift continue,NaN,Safe Condition
156,156,143.6191389196207,drift continue,NaN,Safe Condition
157,157,139.02075109933156,drift continue,NaN,Safe Condition
158,158,136.53543312627238,drift continue,NaN,Safe Condition
159,159,137.0518327224405,drift continue,NaN,Safe Condition
160,160,135.37613593544017,drift continue,NaN,Safe Condition
161,161,136.74652116369,drift continue,NaN,Safe Condition
162,162,130.94689931965775,drift continue,NaN,Safe Condition
163,163,141.84714197825457,drift continue,NaN,Safe Condition
164,164,139.45747538106156,drift continue,NaN,Safe Condition
165,165,130.23409249786405,drift continue,NaN,Safe Condition
166,166,135.09650133194552,drift continue,NaN,Safe Condition
167,167,145.83118663938026,drift continue,NaN,Safe Condition
168,168,142.79320370572017,drift continue,NaN,Safe Condition
169,169,143.32898348593594,drift continue,NaN,Safe Condition
170,170,146.19964392392583,drift continue,NaN,Safe Condition
171,171,144.41584416433378,drift continue,NaN,Safe Condition
172,172,136.63524005723096,drift continue,NaN,Safe Condition
173,173,144.55619601016627,drift continue,NaN,Safe Condition
174,174,150.38461768488918,drift continue,NaN,Safe Condition
