1.Time,2.Signal Value,3.Status,4.Value of Shift/Drift,5.Health Status,6.Date
0,97.75344497270795,Healthy Status,,Safe Condition,2018-01-01
1,93.40368998471472,Healthy Status,,Safe Condition,2018-01-02
2,101.41869781273859,Healthy Status,,Safe Condition,2018-01-03
3,96.85574267366164,Healthy Status,,Safe Condition,2018-01-04
4,99.07251121238468,Healthy Status,,Safe Condition,2018-01-05
5,100.8319027215809,Healthy Status,,Safe Condition,2018-01-06
6,103.74323187582426,Healthy Status,,Safe Condition,2018-01-07
7,100.71831324891512,Healthy Status,,Safe Condition,2018-01-08
8,97.69135398037615,Healthy Status,,Safe Condition,2018-01-09
9,97.86650915334923,Healthy Status,,Safe Condition,2018-01-10
10,99.09839151366212,Healthy Status,,Safe Condition,2018-01-11
11,98.74032265244396,Healthy Status,,Safe Condition,2018-01-12
12,101.69198713796794,Healthy Status,,Safe Condition,2018-01-13
13,98.24469277250506,Healthy Status,,Safe Condition,2018-01-14
14,97.99434615821244,Healthy Status,,Safe Condition,2018-01-15
15,93.36518865267885,Healthy Status,,Safe Condition,2018-01-16
16,95.9696908132962,Healthy Status,,Safe Condition,2018-01-17
17,97.96506227438887,Healthy Status,,Safe Condition,2018-01-18
18,103.1259536807202,Healthy Status,,Safe Condition,2018-01-19
19,97.38247586515236,Healthy Status,,Safe Condition,2018-01-20
20,100.16468987028996,Healthy Status,,Safe Condition,2018-01-21
21,99.19233237076784,Healthy Status,,Safe Condition,2018-01-22
22,96.51674740002859,Healthy Status,,Safe Condition,2018-01-23
23,100.91572827903309,Healthy Status,,Safe Condition,2018-01-24
24,98.36784023194559,Healthy Status,,Safe Condition,2018-01-25
25,99.58429944718178,Healthy Status,,Safe Condition,2018-01-26
26,106.26871514120563,Healthy Status,,Safe Condition,2018-01-27
27,101.98809886083124,Healthy Status,,Safe Condition,2018-01-28
28,104.62348933827565,Healthy Status,,Safe Condition,2018-01-29
29,107.35444670611786,Healthy Status,,Safe Condition,2018-01-30
30,106.14290647122708,Healthy Status,,Safe Condition,2018-01-31
31,101.0199909065024,Healthy Status,,Safe Condition,2018-02-01
32,96.6233709901995,Healthy Status,,Safe Condition,2018-02-02
33,96.06822616895172,Healthy Status,,Safe Condition,2018-02-03
34,98.77560867338491,Healthy Status,,Safe Condition,2018-02-04
35,103.35400244237222,Healthy Status,,Safe Condition,2018-02-05
36,93.2366073583927,Healthy Status,,Safe Condition,2018-02-06
37,104.60469462889135,Healthy Status,,Safe Condition,2018-02-07
38,95.88265260987946,Healthy Status,,Safe Condition,2018-02-08
39,97.95603124323326,Healthy Status,,Safe Condition,2018-02-09
40,90.55891786055464,Healthy Status,,Safe Condition,2018-02-10
41,100.41438052799307,Healthy Status,,Safe Condition,2018-02-11
42,106.95527091298077,Healthy Status,,Safe Condition,2018-02-12
43,104.96750337838905,Healthy Status,,Safe Condition,2018-02-13
44,100.52965102787407,Healthy Status,,Safe Condition,2018-02-14
45,102.31117582858728,Healthy Status,,Safe Condition,2018-02-15
46,93.69637716276031,Healthy Status,,Safe Condition,2018-02-16
47,94.82882305871135,Healthy Status,,Safe Condition,2018-02-17
48,97.36032084476751,Healthy Status,,Safe Condition,2018-02-18
49,96.5039808970877,Healthy Status,,Safe Condition,2018-02-19
50,97.2417975599323,Healthy Status,,Safe Condition,2018-02-20
51,97.85808060656706,Healthy Status,,Safe Condition,2018-02-21
52,106.11181207029136,Healthy Status,,Safe Condition,2018-02-22
53,102.58882316002355,Healthy Status,,Safe Condition,2018-02-23
54,97.29065355070504,Healthy Status,,Safe Condition,2018-02-24
55,98.93992481980257,Healthy Status,,Safe Condition,2018-02-25
56,102.98442574423255,Healthy Status,,Safe Condition,2018-02-26
57,87.47686067450995,Healthy Status,,Safe Condition,2018-02-27
58,100.23848713848648,Healthy Status,,Safe Condition,2018-02-28
59,96.49915555869404,Healthy Status,,Safe Condition,2018-03-01
60,104.25951331536814,Healthy Status,,Safe Condition,2018-03-02
61,97.7073893805636,Healthy Status,,Safe Condition,2018-03-03
62,96.78688605245777,Healthy Status,,Safe Condition,2018-03-04
63,104.37188650866484,Healthy Status,,Safe Condition,2018-03-05
64,102.60511031897356,Healthy Status,,Safe Condition,2018-03-06
65,108.64209915107858,Healthy Status,,Safe Condition,2018-03-07
66,97.44347972903375,Healthy Status,,Safe Condition,2018-03-08
67,98.66524988138724,Healthy Status,,Safe Condition,2018-03-09
68,98.24959256873464,Healthy Status,,Safe Condition,2018-03-10
69,92.37682047588696,Healthy Status,,Safe Condition,2018-03-11
70,95.08392267236569,Healthy Status,,Safe Condition,2018-03-12
71,103.17959543971735,Healthy Status,,Safe Condition,2018-03-13
72,95.35796743182877,Healthy Status,,Safe Condition,2018-03-14
73,102.1842220797142,Healthy Status,,Safe Condition,2018-03-15
74,104.65303333472684,Healthy Status,,Safe Condition,2018-03-16
75,102.63550807500972,Healthy Status,,Safe Condition,2018-03-17
76,102.09475704155923,Healthy Status,,Safe Condition,2018-03-18
77,105.30862429272214,Healthy Status,,Safe Condition,2018-03-19
78,104.45009787568476,Healthy Status,,Safe Condition,2018-03-20
79,95.7014815746057,Healthy Status,,Safe Condition,2018-03-21
80,101.37366465477604,Healthy Status,,Safe Condition,2018-03-22
81,103.94175015891578,drift Started,0.4292481570985547,Safe Condition,2018-03-23
82,97.99438341824757,drift continue,,Safe Condition,2018-03-24
83,98.5405476802014,drift continue,,Safe Condition,2018-03-25
84,100.96811643058822,drift continue,,Safe Condition,2018-03-26
85,106.61535231936851,drift continue,,Safe Condition,2018-03-27
86,103.50108562350515,drift continue,,Safe Condition,2018-03-28
87,106.99108063083385,drift continue,,Safe Condition,2018-03-29
88,110.54593928547101,drift continue,,Safe Condition,2018-03-30
89,108.83712429602112,drift continue,,Safe Condition,2018-03-31
90,111.28490469743522,drift continue,,Safe Condition,2018-04-01
91,99.81611774987002,drift continue,,Safe Condition,2018-04-02
92,109.22776442123022,drift continue,,Safe Condition,2018-04-03
93,113.4642398602138,drift continue,,Safe Condition,2018-04-04
94,107.21752987845132,drift continue,,Safe Condition,2018-04-05
95,105.42003777292595,drift continue,,Safe Condition,2018-04-06
96,117.73208961344734,drift continue,,Safe Condition,2018-04-07
97,107.92798909529516,drift continue,,Safe Condition,2018-04-08
98,115.0540182203867,drift continue,,Safe Condition,2018-04-09
99,112.0238271980486,drift continue,,Safe Condition,2018-04-10
100,109.09524189338462,drift continue,,Safe Condition,2018-04-11
101,117.02475881497915,drift continue,,Safe Condition,2018-04-12
102,111.96805695467792,drift continue,,Safe Condition,2018-04-13
103,119.46949172620396,drift continue,,Safe Condition,2018-04-14
104,113.8767907533597,drift continue,,Safe Condition,2018-04-15
105,117.05897374811592,drift continue,,Safe Condition,2018-04-16
106,113.40033671050486,drift continue,,Safe Condition,2018-04-17
107,112.67060453916345,drift continue,,Safe Condition,2018-04-18
108,115.05251988838327,drift continue,,Safe Condition,2018-04-19
109,117.61259236679649,drift continue,,Safe Condition,2018-04-20
110,122.00690834397655,drift continue,,Safe Condition,2018-04-21
111,119.79654566890258,drift continue,,Safe Condition,2018-04-22
112,121.00416012410528,drift continue,,Safe Condition,2018-04-23
113,113.8677600125926,drift continue,,Safe Condition,2018-04-24
114,119.42909477502928,drift continue,,Safe Condition,2018-04-25
115,120.39992876269487,drift continue,,Safe Condition,2018-04-26
116,122.98510830821436,drift continue,,Safe Condition,2018-04-27
117,117.00206057260527,drift continue,,Safe Condition,2018-04-28
118,120.6678536918333,drift continue,,Safe Condition,2018-04-29
