1.Time,2.Signal Value,3.Status,4.Value of Shift/Drift,5.Health Status,6.Date
0,101.23588866149684,Healthy Status,,Safe Condition,2018-01-01
1,102.28706997863468,Healthy Status,,Safe Condition,2018-01-02
2,106.51073710982638,Healthy Status,,Safe Condition,2018-01-03
3,99.48819251944649,Healthy Status,,Safe Condition,2018-01-04
4,99.31116001916388,Healthy Status,,Safe Condition,2018-01-05
5,99.01395276676998,Healthy Status,,Safe Condition,2018-01-06
6,103.37987568706446,Healthy Status,,Safe Condition,2018-01-07
7,100.22768817944164,Healthy Status,,Safe Condition,2018-01-08
8,101.45936628630724,Healthy Status,,Safe Condition,2018-01-09
9,106.1102740182036,Healthy Status,,Safe Condition,2018-01-10
10,95.38691586799996,Healthy Status,,Safe Condition,2018-01-11
11,100.20553561153515,Healthy Status,,Safe Condition,2018-01-12
12,102.6440334646858,Healthy Status,,Safe Condition,2018-01-13
13,101.01045761918007,Healthy Status,,Safe Condition,2018-01-14
14,103.1851175498902,Healthy Status,,Safe Condition,2018-01-15
15,101.16779219702904,Healthy Status,,Safe Condition,2018-01-16
16,106.36033465290052,Healthy Status,,Safe Condition,2018-01-17
17,97.3464341869562,Healthy Status,,Safe Condition,2018-01-18
18,98.1796210019602,Healthy Status,,Safe Condition,2018-01-19
19,98.46098852125854,Healthy Status,,Safe Condition,2018-01-20
20,101.16686420515171,Healthy Status,,Safe Condition,2018-01-21
21,97.14287258628876,Healthy Status,,Safe Condition,2018-01-22
22,94.58742625326741,Healthy Status,,Safe Condition,2018-01-23
23,101.17211969417751,Healthy Status,,Safe Condition,2018-01-24
24,99.60652092585951,Healthy Status,,Safe Condition,2018-01-25
25,95.70356543487438,Healthy Status,,Safe Condition,2018-01-26
26,97.98457366951679,Healthy Status,,Safe Condition,2018-01-27
27,95.412566896068,Healthy Status,,Safe Condition,2018-01-28
28,99.67273314119178,Healthy Status,,Safe Condition,2018-01-29
29,98.39340189426385,Healthy Status,,Safe Condition,2018-01-30
30,96.96509655452331,Healthy Status,,Safe Condition,2018-01-31
31,99.35494184172596,Healthy Status,,Safe Condition,2018-02-01
32,102.40649107196894,Healthy Status,,Safe Condition,2018-02-02
33,100.22541801037808,Healthy Status,,Safe Condition,2018-02-03
34,92.75143052284331,Healthy Status,,Safe Condition,2018-02-04
35,100.78609344529819,Healthy Status,,Safe Condition,2018-02-05
36,97.2224557542122,Healthy Status,,Safe Condition,2018-02-06
37,100.05018738019028,Healthy Status,,Safe Condition,2018-02-07
38,98.15729641104826,Healthy Status,,Safe Condition,2018-02-08
39,92.54600028258038,Healthy Status,,Safe Condition,2018-02-09
40,97.1794397082786,Healthy Status,,Safe Condition,2018-02-10
41,101.67590351834986,Healthy Status,,Safe Condition,2018-02-11
42,92.34665359248449,Healthy Status,,Safe Condition,2018-02-12
43,101.40332859614557,Healthy Status,,Safe Condition,2018-02-13
44,103.20346964862743,Healthy Status,,Safe Condition,2018-02-14
45,99.78982012124568,Healthy Status,,Safe Condition,2018-02-15
46,99.43125166557627,Healthy Status,,Safe Condition,2018-02-16
47,97.59238270675893,Healthy Status,,Safe Condition,2018-02-17
48,92.14442031641346,Healthy Status,,Safe Condition,2018-02-18
49,94.26933544459206,Healthy Status,,Safe Condition,2018-02-19
50,98.34456529496664,Healthy Status,,Safe Condition,2018-02-20
51,104.56575615412596,Healthy Status,,Safe Condition,2018-02-21
52,101.71359792384274,Healthy Status,,Safe Condition,2018-02-22
53,98.24966385244095,Healthy Status,,Safe Condition,2018-02-23
54,91.8701000594868,Healthy Status,,Safe Condition,2018-02-24
55,108.82838502482404,Healthy Status,,Safe Condition,2018-02-25
56,98.22845151763485,Healthy Status,,Safe Condition,2018-02-26
57,102.73992412768055,Healthy Status,,Safe Condition,2018-02-27
58,99.62394698053127,Healthy Status,,Safe Condition,2018-02-28
59,95.38271047904942,Healthy Status,,Safe Condition,2018-03-01
